time,temperature,min_temperature,max_temperature,precipitation,snow,wind_direction,wind_speed,wind_gust,pressure,sunshine,city
2023-06-01,12.4,9.0,16.4,0.0,,39.0,19.0,35.2,1025.4,,London
2023-06-02,12.0,8.8,16.1,0.0,,36.0,17.7,33.3,1024.8,,London
2023-06-03,13.4,7.2,19.7,0.0,,40.0,17.3,35.2,1023.7,,London
2023-06-04,14.2,8.3,20.2,0.0,,46.0,16.0,31.5,1024.2,,London
2023-06-05,12.8,7.9,17.6,0.0,,39.0,15.6,31.5,1024.5,,London
2023-06-06,12.8,9.1,17.6,0.0,,43.0,16.5,31.5,1023.6,,London
2023-06-07,14.0,8.0,20.2,0.0,,53.0,15.6,31.5,1021.9,,London
2023-06-08,14.4,8.3,20.4,0.0,,56.0,16.7,31.5,1018.8,,London
2023-06-09,17.2,10.0,24.2,0.0,,59.0,18.0,35.2,1014.1,,London
2023-06-10,21.0,14.4,27.9,0.0,,75.0,15.9,35.2,1013.2,,London
2023-06-11,21.8,15.4,28.3,0.2,,86.0,11.2,25.9,1014.0,,London
2023-06-12,20.8,16.1,25.5,2.9,,85.0,8.6,22.2,1014.8,,London
2023-06-13,19.9,13.4,26.9,0.0,,51.0,15.8,37.0,1014.5,,London
2023-06-14,18.6,10.8,26.4,0.0,,54.0,14.8,29.6,1017.5,,London
2023-06-15,18.8,11.7,25.8,0.0,,62.0,11.9,25.9,1020.1,,London
2023-06-16,19.2,12.4,26.1,0.0,,74.0,10.4,27.8,1019.5,,London
2023-06-17,18.3,12.2,24.1,0.0,,95.0,10.7,25.9,1014.6,,London
2023-06-18,18.5,15.7,22.3,20.7,,145.0,10.6,25.9,1009.2,,London
2023-06-19,18.5,14.2,23.0,0.1,,218.0,14.8,31.5,1010.3,,London
2023-06-20,18.5,14.7,23.3,1.9,,177.0,12.3,31.5,1008.4,,London
2023-06-21,18.6,13.5,23.6,1.2,,231.0,13.3,29.6,1015.4,,London
2023-06-22,19.3,13.9,24.8,0.1,,330.0,8.9,24.1,1019.0,,London
2023-06-23,20.0,14.2,25.6,0.0,,229.0,11.3,31.5,1023.0,,London
2023-06-24,20.3,14.6,26.1,0.0,,226.0,11.7,24.1,1023.0,,London
2023-06-25,22.2,16.4,28.5,0.0,,188.0,15.8,40.8,1015.0,,London
2023-06-26,17.1,12.0,21.5,0.0,,271.0,17.6,38.9,1019.1,,London
2023-06-27,16.7,11.1,20.8,0.0,,252.0,13.3,31.5,1020.9,,London
2023-06-28,19.6,15.3,23.9,0.0,,243.0,13.8,31.5,1017.1,,London
2023-06-29,17.6,14.8,21.2,4.9,,315.0,12.2,27.8,1015.7,,London
2023-06-30,15.5,10.9,18.2,0.4,,246.0,15.4,40.8,1012.4,,London
2023-07-01,18.4,14.6,21.7,0.7,,271.0,20.6,42.6,1005.9,,London
2023-07-02,15.5,10.2,19.9,0.0,,267.0,18.2,44.5,1011.3,,London
2023-07-03,14.6,9.7,18.2,0.0,,257.0,21.3,50.0,1010.9,,London
2023-07-04,14.0,10.5,17.1,12.9,,245.0,14.2,31.5,1010.0,,London
2023-07-05,14.8,10.6,19.1,7.7,,272.0,18.0,40.8,1010.6,,London
2023-07-06,15.3,9.5,20.6,0.0,,222.0,14.1,33.3,1016.0,,London
2023-07-07,19.9,11.6,27.6,0.0,,134.0,11.6,33.3,1015.7,,London
2023-07-08,20.5,18.1,23.7,5.9,,167.0,10.6,25.9,1015.1,,London
2023-07-09,17.8,15.4,20.6,3.8,,226.0,11.0,29.6,1019.2,,London
2023-07-10,17.4,12.4,20.9,0.0,,210.0,15.4,37.0,1019.1,,London
2023-07-11,18.5,15.3,21.0,1.4,,223.0,18.8,38.9,1010.2,,London
2023-07-12,16.5,12.2,20.6,1.1,,252.0,18.7,42.6,1011.3,,London
2023-07-13,16.2,11.5,20.7,0.4,,246.0,14.8,35.2,1015.8,,London
2023-07-14,16.4,13.3,19.2,7.8,,174.0,15.0,40.8,1008.8,,London
2023-07-15,17.0,14.9,19.2,2.1,,213.0,26.0,64.8,1001.1,,London
2023-07-16,16.3,13.3,19.5,0.2,,237.0,24.1,48.2,1009.0,,London
2023-07-17,15.9,11.2,20.6,0.1,,246.0,15.7,40.8,1017.3,,London
2023-07-18,16.1,10.9,20.5,1.3,,236.0,8.7,24.1,1018.4,,London
2023-07-19,17.1,13.3,21.4,0.6,,280.0,12.6,29.6,1015.0,,London
2023-07-20,16.1,10.8,20.7,0.0,,322.0,9.5,24.1,1015.6,,London
2023-07-21,15.1,10.8,18.5,0.2,,301.0,11.7,27.8,1013.9,,London
2023-07-22,14.7,12.1,16.9,8.9,,222.0,17.8,40.8,1010.8,,London
